Number,Movie,Genre,Date,UserScore,MetaScore,CertRating,Director
223.,Bringing Up Baby,"Comedy,                                                                                                    Romance,                                                                                                    Family ","February 18, 1938",7.6,91,TV-G,Howard Hawks
224.,The Gatekeepers,Documentary ,"February 1, 2013",6.8,91,PG-13,Dror Moreh
225.,Nostalgia for the Light,"Drama,                                                                                                    Documentary ","March 18, 2011",8.1,91,Not Rated,Patricio Guzmán
226.,The Rider,"Adventure,                                                                                                    Drama,                                                                                                    Comedy,                                                                                                    Romance,                                                                                                    Western,                                                                                                    Music ","April 13, 2018",7.5,91,R,Chloé Zhao
227.,David Copperfield,"Adventure,                                                                                                    Drama,                                                                                                    Romance ","January 18, 1935",,91,Passed,George Cukor
228.,Saving Private Ryan,"Action,                                                                                                    Drama,                                                                                                    War ","July 24, 1998",8.8,91,TV-MA,Steven Spielberg
229.,Burning,"Drama,                                                                                                    Mystery ","October 26, 2018",7.8,90,Not Rated,Chang-dong Lee
230.,All the Beauty and the Bloodshed,Documentary ,"November 23, 2022",,90,Not Rated,Laura Poitras
231.,The Worst Person in the World,"Drama,                                                                                                    Comedy ","February 4, 2022",7.6,90,Not Rated,Joachim Trier
232.,Ben-Hur,"Adventure,                                                                                                    Drama,                                                                                                    History,                                                                                                    War ","November 18, 1959",8.4,90,G,William Wyler
233.,After Hours,"Thriller,                                                                                                    Comedy ","September 13, 1985",8.0,90,R,Martin Scorsese
234.,The Crying Game,"Thriller,                                                                                                    Romance,                                                                                                    Crime ","November 25, 1992",7.4,90,R,Neil Jordan
235.,Great Expectations,"Adventure,                                                                                                    Drama,                                                                                                    Mystery,                                                                                                    Romance ","May 22, 1947",8.0,90,Approved,David Lean
236.,Winter's Bone,"Drama,                                                                                                    Thriller ","June 11, 2010",7.3,90,R,Debra Granik
237.,Gett: The Trial of Viviane Amsalem,Drama ,"February 13, 2015",7.7,90,Not Rated,Ronit Elkabetz
238.,I Called Him Morgan,"Drama,                                                                                                    History,                                                                                                    Music,                                                                                                    Documentary ","March 24, 2017",6.8,90,Not Rated,Kasper Collin
239.,Close Encounters of the Third Kind,"Adventure,                                                                                                    Sci-Fi,                                                                                                    Drama ","November 16, 1977",7.8,90,PG,Steven Spielberg
240.,The Godfather: Part II,"Drama,                                                                                                    Thriller,                                                                                                    Crime ","December 12, 1974",9.0,90,R,Francis Ford Coppola
241.,Red Beard,Drama ,"December 19, 1968",,90,Not Rated,Akira Kurosawa
242.,The Hustler,"Drama,                                                                                                    Sport ","September 25, 1961",8.2,90,TV-PG,Robert Rossen
243.,Hit the Road,Drama ,"April 22, 2022",7.1,90,Not Rated,Panah Panahi
244.,L.A. Confidential,"Drama,                                                                                                    Mystery,                                                                                                    Thriller,                                                                                                    Crime ","September 19, 1997",8.6,90,TV-MA,Curtis Hanson
245.,Procession,Documentary ,"November 19, 2021",,90,R,Robert Greene
246.,Bloody Sunday,"Drama,                                                                                                    History,                                                                                                    War ","October 4, 2002",8.4,90,R,Paul Greengrass
247.,My Voyage to Italy,Documentary ,"October 19, 2001",7.1,90,PG-13,Martin Scorsese
248.,Phantom Thread,"Drama,                                                                                                    Romance,                                                                                                    Crime ","December 25, 2017",7.7,90,R,Paul Thomas Anderson
249.,Goodfellas,"Biography,                                                                                                    Drama,                                                                                                    Crime ","September 1, 1990",8.7,90,R,Martin Scorsese
250.,Wojnarowicz,Documentary ,"March 19, 2021",,90,Not Rated,Chris McKim
251.,Paths of the Soul,Drama ,"May 13, 2016",,90,Not Rated,Yang Zhang
252.,It's Such a Beautiful Day,"Sci-Fi,                                                                                                    Drama,                                                                                                    Fantasy,                                                                                                    Comedy,                                                                                                    Animation ","October 5, 2012",8.1,90,Not Rated,Don Hertzfeldt
253.,My Perestroika,"Biography,                                                                                                    History,                                                                                                    Family,                                                                                                    Documentary,                                                                                                    News ","March 23, 2011",7.3,90,Not Rated,Robin Hessman
254.,This Is Not a Film,Documentary ,"March 2, 2012",6.3,90,Not Rated,Jafar Panahi
255.,The Birds,"Drama,                                                                                                    Mystery,                                                                                                    Horror,                                                                                                    Romance ","March 29, 1963",7.8,90,PG-13,Alfred Hitchcock
256.,To Have and Have Not,"Adventure,                                                                                                    Thriller,                                                                                                    Comedy,                                                                                                    Romance,                                                                                                    War,                                                                                                    Film-Noir ","January 20, 1945",,90,Approved,Howard Hawks
257.,Finding Nemo,"Adventure,                                                                                                    Comedy,                                                                                                    Animation,                                                                                                    Family ","May 30, 2003",8.7,90,G,Andrew Stanton
258.,Topsy-Turvy,"Biography,                                                                                                    Drama,                                                                                                    Comedy,                                                                                                    Music ","December 17, 1999",8.0,90,R,Mike Leigh
259.,Samurai Rebellion,Drama ,"December 1, 1967",6.4,90,Not Rated,Masaki Kobayashi
260.,King Kong,"Adventure,                                                                                                    Sci-Fi,                                                                                                    Horror ","April 7, 1933",8.0,90,Passed,Ernest B. Schoedsack
261.,Small Axe: Mangrove,Drama ,"November 20, 2020",7.4,90,Not Rated,Steve McQueen
262.,The Incredibles,"Action,                                                                                                    Adventure,                                                                                                    Animation,                                                                                                    Family ","November 5, 2004",8.8,90,PG,Brad Bird
263.,Before Sunset,"Drama,                                                                                                    Romance ","July 2, 2004",8.6,90,R,Richard Linklater
264.,Being John Malkovich,"Drama,                                                                                                    Fantasy,                                                                                                    Comedy,                                                                                                    Romance ","October 29, 1999",8.7,90,R,Spike Jonze
265.,A Prophet,"Drama,                                                                                                    Crime ","February 26, 2010",8.5,90,R,Jacques Audiard
266.,Hard to Be a God,"Sci-Fi,                                                                                                    Drama ","January 30, 2015",,90,Not Rated,Aleksei German
267.,Almost Famous,"Drama,                                                                                                    Music ","September 13, 2000",6.1,90,Unrated,Cameron Crowe
268.,High and Low,"Drama,                                                                                                    Mystery,                                                                                                    Thriller,                                                                                                    Crime ","November 26, 1963",8.2,90,Not Rated,Akira Kurosawa
269.,Paths of Glory,"Drama,                                                                                                    War ","December 25, 1957",8.4,90,TV-14,Stanley Kubrick
270.,Cold War,"Drama,                                                                                                    Romance,                                                                                                    Music ","December 21, 2018",7.9,90,R,Pawel Pawlikowski
271.,Big Men,Documentary ,"March 14, 2014",7.4,90,Not Rated,Rachel Boynton
272.,American Splendor,"Biography,                                                                                                    Drama,                                                                                                    Comedy ","August 15, 2003",7.8,90,TV-MA,Robert Pulcini
273.,Hannah and Her Sisters,"Drama,                                                                                                    Comedy,                                                                                                    Romance ","February 1, 1986",8.0,90,PG-13,Woody Allen
274.,The Circus,"Comedy,                                                                                                    Romance ","January 1, 1929",8.2,90,G,Charles Chaplin
275.,Lost in Translation,"Drama,                                                                                                    Romance ","September 12, 2003",7.5,90,R,Sofia Coppola
276.,The Tale,"Drama,                                                                                                    Mystery,                                                                                                    Thriller ","May 26, 2018",7.3,90,TV-MA,Jennifer Fox
277.,Licorice Pizza,"Drama,                                                                                                    Comedy ","November 26, 2021",6.6,90,R,Paul Thomas Anderson
278.,Paterson,"Drama,                                                                                                    Comedy,                                                                                                    Romance ","December 28, 2016",7.8,90,R,Jim Jarmusch
279.,Gosford Park,"Drama,                                                                                                    Mystery,                                                                                                    Comedy ","December 26, 2001",7.3,90,TV-MA,Robert Altman
280.,The Fits,Drama ,"June 3, 2016",6.6,90,Not Rated,Anna Rose Holmer
281.,The Souvenir: Part II,"Drama,                                                                                                    Romance ","October 29, 2021",,90,R,Joanna Hogg
282.,Mad Max: Fury Road,"Action,                                                                                                    Adventure,                                                                                                    Sci-Fi,                                                                                                    Thriller ","May 15, 2015",8.5,90,R,George Miller
283.,United 93,"Drama,                                                                                                    History,                                                                                                    Crime ","April 28, 2006",7.5,90,R,Paul Greengrass
284.,Capturing the Friedmans,"Biography,                                                                                                    Mystery,                                                                                                    Crime,                                                                                                    Documentary ","May 30, 2003",8.0,90,Not Rated,Andrew Jarecki
285.,The Truman Show,Drama ,"June 5, 1998",6.7,90,PG,Peter Weir
286.,American Hustle,"Drama,                                                                                                    History,                                                                                                    Thriller,                                                                                                    Crime ","December 13, 2013",7.3,90,R,David O. Russell
287.,Blue Is the Warmest Color,"Drama,                                                                                                    Romance ","October 25, 2013",7.8,90,NC-17,Abdel Kechiche
288.,Star Wars: Episode IV - A New Hope,"Action,                                                                                                    Adventure,                                                                                                    Sci-Fi,                                                                                                    Fantasy ","May 25, 1977",8.8,90,PG,George Lucas
289.,Persepolis,"Biography,                                                                                                    Drama,                                                                                                    War,                                                                                                    Animation ","December 25, 2007",8.5,90,PG-13,Marjane Satrapi
290.,The Age of Innocence,"Drama,                                                                                                    Romance ","September 17, 1993",7.9,90,PG,Martin Scorsese
291.,Once,"Drama,                                                                                                    Romance,                                                                                                    Music ","May 16, 2007",8.2,89,R,John Carney
292.,First Cow,Drama ,"March 6, 2020",7.0,89,PG-13,Kelly Reichardt
293.,The Best of Youth,"Drama,                                                                                                    Romance ","March 2, 2005",8.8,89,R,Marco Tullio Giordana
294.,The Overnighters,"Drama,                                                                                                    Documentary ","October 10, 2014",7.5,89,PG-13,Jesse Moss
295.,The Lives of Others,"Drama,                                                                                                    Thriller ","December 1, 2006",8.7,89,R,Florian Henckel von Donnersmarck
296.,Two-Lane Blacktop,Drama ,"July 7, 1971",,89,R,Monte Hellman
297.,House of Flying Daggers,"Action,                                                                                                    Adventure,                                                                                                    Drama,                                                                                                    Fantasy,                                                                                                    Romance ","December 3, 2004",8.8,89,PG-13,Yimou Zhang
298.,63 Up,Documentary ,"November 27, 2019",7.2,89,Not Rated,Michael Apted
299.,Minding the Gap,Documentary ,"August 17, 2018",8.1,89,Not Rated,Bing Liu
300.,Treasure Island,"Adventure,                                                                                                    Family ","July 19, 1950",7.5,89,Approved,Byron Haskin
301.,Searching for Bobby Fischer,"Biography,                                                                                                    Drama ","August 11, 1993",7.4,89,PG,Steven Zaillian
302.,Hamilton,"Biography,                                                                                                    Drama,                                                                                                    History,                                                                                                    Musical ","July 3, 2020",7.6,89,PG-13,Thomas Kail
303.,National Gallery,"History,                                                                                                    Documentary ","November 5, 2014",,89,Not Rated,Frederick Wiseman
304.,Assault on Precinct 13,"Action,                                                                                                    Thriller,                                                                                                    Crime ","November 5, 1976",7.7,89,R,John Carpenter
305.,Man on Wire,"Crime,                                                                                                    Documentary ","July 25, 2008",8.2,89,PG-13,James Marsh
306.,Three Minutes: A Lengthening,Documentary ,"August 19, 2022",,89,PG,Bianca Stigter
307.,For Sama,Documentary ,"July 26, 2019",7.7,89,Not Rated,Edward Watts
308.,Force of Evil,"Drama,                                                                                                    Crime,                                                                                                    Film-Noir ","March 1, 1949",,89,Passed,Abraham Polonsky
309.,The Hidden Fortress,"Adventure,                                                                                                    Drama ","October 6, 1960",8.3,89,Not Rated,Akira Kurosawa
310.,Still Walking,Drama ,"August 21, 2009",8.5,89,,Hirokazu Koreeda
311.,Gangs of Wasseypur,"Action,                                                                                                    Drama,                                                                                                    Thriller,                                                                                                    Crime ","January 16, 2015",8.5,89,R,Anurag Kashyap
312.,The Last Detail,"Drama,                                                                                                    Comedy ","December 12, 1973",7.7,89,R,Hal Ashby
313.,When the Levees Broke: A Requiem in Four Acts,Documentary ,"August 21, 2006",,89,TV-MA,Spike Lee
314.,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy ,"November 3, 2006",7.4,89,R,Larry Charles
315.,Minari,Drama ,"December 11, 2020",8.0,89,PG-13,Lee Isaac Chung
316.,Whiplash,"Drama,                                                                                                    Music ","October 10, 2014",8.8,89,R,Damien Chazelle
317.,Barry Lyndon,"Adventure,                                                                                                    Drama,                                                                                                    History,                                                                                                    War ","December 18, 1975",8.6,89,PG,Stanley Kubrick
318.,The Farewell,"Drama,                                                                                                    Comedy ","July 12, 2019",8.2,89,Not Rated,Lulu Wang
319.,Elle,"Drama,                                                                                                    Thriller,                                                                                                    Comedy ","November 11, 2016",7.2,89,R,Paul Verhoeven
320.,The Tale of The Princess Kaguya,"Drama,                                                                                                    Fantasy,                                                                                                    Animation ","October 17, 2014",8.5,89,PG,Isao Takahata
321.,Uncertain,"Drama,                                                                                                    Comedy,                                                                                                    Documentary ","March 10, 2017",7.8,89,Not Rated,Anna Sandilands
322.,Captain Blood,"Action,                                                                                                    Adventure ","December 28, 1935",7.5,89,Passed,Michael Curtiz
323.,"Two Days, One Night",Drama ,"December 24, 2014",8.5,89,PG-13,Jean-Pierre Dardenne
324.,Great Freedom,Drama ,"March 4, 2022",,89,Unrated,Sebastian Meise
325.,Eighth Grade,"Drama,                                                                                                    Comedy ","July 13, 2018",7.9,89,R,Bo Burnham
326.,A Star Is Born,"Drama,                                                                                                    Romance,                                                                                                    Musical ","October 16, 1954",8.2,89,Passed,George Cukor
327.,No End in Sight,"War,                                                                                                    Documentary ","July 27, 2007",8.2,89,,Charles Ferguson
328.,It's a Wonderful Life,"Drama,                                                                                                    Fantasy,                                                                                                    Family ","January 7, 1947",8.5,89,Approved,Frank Capra
329.,The Madness of King George,"Biography,                                                                                                    Drama,                                                                                                    History,                                                                                                    Comedy ","December 28, 1994",7.5,89,PG-13,Nicholas Hytner
330.,Phoenix,"Drama,                                                                                                    History ","July 24, 2015",7.8,89,PG-13,Christian Petzold
331.,Goodbye Solo,Drama ,"March 27, 2009",7.5,89,R,Ramin Bahrani
332.,Gunda,Documentary ,"December 11, 2020",7.1,89,G,Victor Kossakovsky
333.,Western,"Western,                                                                                                    Documentary ","September 25, 2015",7.1,89,Not Rated,Bill Ross IV
334.,The Power of the Dog,Drama ,"November 17, 2021",6.5,89,Not Rated,Jane Campion
335.,Stop Making Sense,"Music,                                                                                                    Documentary ","October 18, 1984",8.3,89,,Jonathan Demme
336.,Deep Red,"Mystery,                                                                                                    Thriller,                                                                                                    Horror ","June 11, 1976",7.5,89,Not Rated,Dario Argento
337.,Downhill Racer,"Drama,                                                                                                    Sport ","November 7, 1969",8.0,89,PG,Michael Ritchie
338.,Alien,"Sci-Fi,                                                                                                    Thriller,                                                                                                    Horror ","June 22, 1979",8.8,89,R,Ridley Scott
339.,Columbus,"Drama,                                                                                                    Comedy,                                                                                                    Romance ","August 4, 2017",7.4,89,Not Rated,Kogonada
340.,Night of the Living Dead,Horror ,"October 1, 1968",8.1,89,Unrated,George A. Romero
341.,The Artist,Romance ,"November 23, 2011",8.1,89,,Michel Hazanavicius
342.,Yankee Doodle Dandy,"Biography,                                                                                                    Drama,                                                                                                    Musical ","June 6, 1942",,89,Passed,Michael Curtiz
343.,Raging Bull,"Biography,                                                                                                    Drama,                                                                                                    Sport ","November 14, 1980",7.1,89,R,Martin Scorsese
344.,Eternal Sunshine of the Spotless Mind,"Drama,                                                                                                    Romance ","March 19, 2004",8.8,89,R,Michel Gondry
345.,The Piano,"Drama,                                                                                                    Romance ","November 1, 1993",8.0,89,R,Jane Campion
346.,Of Mice and Men,Drama ,"January 12, 1940",,89,Approved,Lewis Milestone
347.,Dead Souls,Documentary ,"December 14, 2018",,89,Not Rated,Bing Wang
348.,Zama,Drama ,"April 13, 2018",7.4,89,Not Rated,Lucrecia Martel
349.,Dick Johnson Is Dead,"Drama,                                                                                                    Documentary ","October 2, 2020",7.6,89,PG-13,Kirsten Johnson
350.,High Noon,"Action,                                                                                                    Drama,                                                                                                    Thriller,                                                                                                    Western ","July 30, 1952",8.4,89,Approved,Fred Zinnemann
351.,Rebel Without a Cause,Drama ,"October 29, 1955",7.6,89,TV-PG,Nicholas Ray
352.,Letters from Iwo Jima,"Drama,                                                                                                    History,                                                                                                    War ","December 20, 2006",8.2,89,R,Clint Eastwood
353.,The Seventh Continent (1989),Drama ,TBA,,89,Unrated,Michael Haneke
354.,A Woman Under the Influence,"Drama,                                                                                                    Romance ","November 18, 1974",7.6,88,R,John Cassavetes
355.,Ghost World,"Drama,                                                                                                    Comedy ","July 20, 2001",8.1,88,R,Terry Zwigoff
356.,Foreign Correspondent,"Mystery,                                                                                                    Thriller,                                                                                                    Romance,                                                                                                    War ","August 16, 1940",8.0,88,TV-PG,Alfred Hitchcock
357.,Show Boat,"Drama,                                                                                                    Comedy,                                                                                                    Romance,                                                                                                    Musical ","May 17, 1936",,88,Approved,James Whale
358.,The Arbor,"Biography,                                                                                                    Documentary ","April 27, 2011",7.6,88,Not Rated,Clio Barnard
359.,Long Day's Journey Into Night,"Drama,                                                                                                    Mystery ","April 12, 2019",7.1,88,Not Rated,Gan Bi
360.,Richard III,"Biography,                                                                                                    Drama,                                                                                                    History,                                                                                                    War ","March 11, 1956",,88,Not Rated,Laurence Olivier
361.,Democrats,Documentary ,"November 18, 2015",,88,Not Rated,Camilla Nielsson
362.,The Lion King,"Adventure,                                                                                                    Drama,                                                                                                    Animation,                                                                                                    Family,                                                                                                    Musical ","June 15, 1994",8.8,88,G,Rob Minkoff
363.,4 Little Girls,"History,                                                                                                    Documentary ","July 9, 1997",7.2,88,Not Rated,Spike Lee
364.,Wild Strawberries,"Drama,                                                                                                    Romance ","June 22, 1959",8.1,88,Not Rated,Ingmar Bergman
365.,Crime + Punishment,Documentary ,"August 24, 2018",,88,Not Rated,Stephen T. Maing
366.,The Seventh Seal,"Drama,                                                                                                    Fantasy ","October 13, 1958",8.2,88,TV-PG,Ingmar Bergman
367.,How Green Was My Valley,"Drama,                                                                                                    Family ","October 28, 1941",6.7,88,Passed,John Ford
368.,Azor,Drama ,"September 10, 2021",6.7,88,Not Rated,Andreas Fontana
369.,Y Tu Mamá También,"Drama,                                                                                                    Comedy ","March 15, 2002",6.7,88,R,Alfonso Cuarón
370.,Paddington 2,"Adventure,                                                                                                    Fantasy,                                                                                                    Comedy,                                                                                                    Animation,                                                                                                    Family ","January 12, 2018",8.3,88,PG,Paul King
371.,The Little Mermaid,"Fantasy,                                                                                                    Romance,                                                                                                    Animation,                                                                                                    Family,                                                                                                    Musical ","November 17, 1989",7.6,88,G,John Musker
372.,City Hall,Documentary ,"October 28, 2020",,88,Not Rated,Frederick Wiseman
373.,Capote,"Biography,                                                                                                    Drama,                                                                                                    Crime ","September 30, 2005",7.7,88,R,Bennett Miller
374.,The Death of Stalin,"Biography,                                                                                                    Drama,                                                                                                    History,                                                                                                    Comedy ","March 9, 2018",7.3,88,R,Armando Iannucci
375.,Miracle on 34th Street,"Drama,                                                                                                    Comedy,                                                                                                    Family ","June 4, 1947",7.7,88,TV-G,George Seaton
376.,Strangers on a Train,"Thriller,                                                                                                    Crime,                                                                                                    Film-Noir ","June 30, 1951",8.7,88,TV-PG,Alfred Hitchcock
377.,Tulpan,"Drama,                                                                                                    Comedy ","April 1, 2009",6.3,88,,Sergei Dvortsevoy
378.,Manuscripts Don't Burn,Drama ,"June 13, 2014",,88,Not Rated,Mohammad Rasoulof
379.,In Transit,"Documentary,                                                                                                    News ","June 23, 2017",,88,Not Rated,Albert Maysles
380.,"Three Billboards Outside Ebbing, Missouri","Drama,                                                                                                    Comedy,                                                                                                    Crime ","November 10, 2017",7.8,88,R,Martin McDonagh
381.,Quest,"Music,                                                                                                    Family,                                                                                                    Documentary ","December 8, 2017",7.2,88,Not Rated,Jonathan Olshefski
382.,Au Revoir les Enfants,"Drama,                                                                                                    War ","February 12, 1988",7.8,88,PG,Louis Malle
383.,A Film Unfinished,"Drama,                                                                                                    History,                                                                                                    Documentary ","August 18, 2010",7.7,88,Unrated,Yael Hersonski
384.,Things to Come,Drama ,"December 2, 2016",6.9,88,Not Rated,Mia Hansen-Løve
385.,The Grand Budapest Hotel,"Drama,                                                                                                    Comedy ","March 7, 2014",8.4,88,R,Wes Anderson
386.,Winter Sleep,Drama ,"December 19, 2014",8.4,88,Not Rated,Nuri Bilge Ceylan
387.,A Star Is Born,"Drama,                                                                                                    Romance,                                                                                                    Music,                                                                                                    Musical ","October 5, 2018",8.4,88,R,Bradley Cooper
388.,Citizenfour,Documentary ,"October 24, 2014",7.6,88,Not Rated,Laura Poitras
389.,Time Out,Drama ,"March 29, 2002",7.5,88,PG-13,Laurent Cantet
390.,The Blue Angel (re-release),"Drama,                                                                                                    Musical ","July 13, 2001",7.8,88,,Josef von Sternberg
391.,Thelma & Louise,"Drama,                                                                                                    Thriller,                                                                                                    Crime ","May 24, 1991",8.1,88,R,Ridley Scott
392.,Away from Her,"Drama,                                                                                                    Romance ","May 4, 2007",8.0,88,PG-13,Sarah Polley
393.,The Fallen Idol (re-release),"Drama,                                                                                                    Mystery,                                                                                                    Thriller ","February 10, 2006",6.8,88,,Carol Reed
394.,The Father,Drama ,"February 26, 2021",8.6,88,PG-13,Florian Zeller
395.,Fat City,"Drama,                                                                                                    Sport ","July 26, 1972",,88,PG,John Huston
396.,Foxtrot,Drama ,"December 8, 2017",7.2,88,Not Rated,Samuel Maoz
397.,Howards End,"Drama,                                                                                                    Romance ","March 13, 1992",8.1,88,PG,James Ivory
398.,The Innocents,Horror ,"December 15, 1961",6.7,88,Approved,Jack Clayton
399.,Inside Job,Documentary ,"October 8, 2010",8.3,88,PG-13,Charles Ferguson
400.,Sweet Country,"Adventure,                                                                                                    Drama,                                                                                                    History,                                                                                                    Thriller,                                                                                                    Crime,                                                                                                    Western ","April 6, 2018",7.1,88,R,Warwick Thornton
401.,Leave No Trace,Drama ,"June 29, 2018",7.6,88,PG,Debra Granik
402.,Three Colors: White,"Drama,                                                                                                    Comedy,                                                                                                    Romance ","June 10, 1994",8.2,88,R,Krzysztof Kieslowski
403.,Chicken Run,"Comedy,                                                                                                    Animation,                                                                                                    Family ","June 21, 2000",8.0,88,G,Nick Park
404.,The King's Speech,"Drama,                                                                                                    History ","November 26, 2010",8.3,88,R,Tom Hooper
405.,Parallel Mothers,Drama ,"December 24, 2021",7.4,88,Not Rated,Pedro Almodóvar
406.,Hell or High Water,"Drama,                                                                                                    Crime ","August 12, 2016",8.1,88,R,David Mackenzie
407.,Up,"Adventure,                                                                                                    Drama,                                                                                                    Comedy,                                                                                                    Animation,                                                                                                    Family ","May 29, 2009",8.7,88,PG,Bob Peterson
408.,Shirkers,Documentary ,"October 26, 2018",7.7,88,Not Rated,Sandi Tan
409.,Mildred Pierce,"Drama,                                                                                                    Mystery,                                                                                                    Romance,                                                                                                    Crime,                                                                                                    Film-Noir ","October 20, 1945",7.8,88,TV-PG,Michael Curtiz
410.,45365,Documentary ,"June 18, 2010",7.4,88,,Bill Ross IV
411.,Tootsie,"Drama,                                                                                                    Comedy,                                                                                                    Romance ","December 17, 1982",7.9,88,PG,Sydney Pollack
412.,Marooned in Iraq,Drama ,"April 25, 2003",7.7,88,,Bahman Ghobadi
413.,To Kill a Mockingbird,"Drama,                                                                                                    Crime ","December 25, 1962",8.5,88,TV-PG,Robert Mulligan
414.,Descendant,"History,                                                                                                    Documentary ","October 21, 2022",,88,Not Rated,Margaret Brown
415.,Aquarius,Drama ,"October 14, 2016",8.6,88,Not Rated,Kleber Mendonça Filho
416.,"So Long, My Son",Drama ,TBA,,88,,Xiaoshuai Wang
417.,Apollo 11,"History,                                                                                                    Documentary ","March 1, 2019",8.2,88,Not Rated,Todd Douglas Miller
418.,Anomalisa,"Drama,                                                                                                    Fantasy,                                                                                                    Comedy,                                                                                                    Romance,                                                                                                    Animation ","December 30, 2015",7.5,88,R,Charlie Kaufman
419.,Toy Story 2,"Adventure,                                                                                                    Fantasy,                                                                                                    Comedy,                                                                                                    Animation,                                                                                                    Family ","November 24, 1999",8.7,88,G,Ash Brannon
420.,Black Panther,"Action,                                                                                                    Adventure,                                                                                                    Sci-Fi,                                                                                                    Drama ","February 16, 2018",6.3,88,PG-13,Ryan Coogler
421.,The Human Voice,"Drama,                                                                                                    Short ","March 12, 2021",6.6,88,Not Rated,Pedro Almodóvar
422.,Brooklyn,"Drama,                                                                                                    Comedy,                                                                                                    Romance ","November 4, 2015",7.9,88,PG-13,John Crowley
423.,Nobody Knows,Drama ,"February 4, 2005",8.5,88,PG-13,Hirokazu Koreeda
424.,Life Is Sweet,"Drama,                                                                                                    Comedy ","October 25, 1991",7.2,88,R,Mike Leigh
425.,Faces,Drama ,"November 24, 1968",,88,R,John Cassavetes
426.,Mary Poppins,"Fantasy,                                                                                                    Comedy,                                                                                                    Family,                                                                                                    Musical ","August 27, 1964",7.9,88,G,Robert Stevenson
427.,The Lord of the Rings: The Two Towers,"Action,                                                                                                    Adventure,                                                                                                    Fantasy ","December 18, 2002",8.9,87,PG-13,Peter Jackson
428.,L'Enfant (The Child),"Drama,                                                                                                    Romance,                                                                                                    Crime ","March 24, 2006",8.6,87,R,Jean-Pierre Dardenne
429.,Jane Fonda in Five Acts,Documentary ,"September 21, 2018",6.5,87,TV-14,Susan Lacy
430.,The Conversation,"Drama,                                                                                                    Mystery,                                                                                                    Thriller ","April 7, 1974",8.4,87,PG,Francis Ford Coppola
431.,Good Morning,"Drama,                                                                                                    Comedy,                                                                                                    Family ","February 1, 1962",,87,Not Rated,Yasujiro Ozu
432.,Newtown,Documentary ,"October 7, 2016",8.3,87,,Kim A. Snyder
433.,Poetry,Drama ,"February 11, 2011",8.0,87,Unrated,Chang-dong Lee
434.,Restless Creature: Wendy Whelan,Documentary ,"May 24, 2017",,87,Not Rated,Adam Schlesinger
435.,Birdman or (The Unexpected Virtue of Ignorance),"Drama,                                                                                                    Comedy ","October 17, 2014",8.2,87,R,Alejandro González Iñárritu
436.,Little Women,"Drama,                                                                                                    Romance,                                                                                                    Family ","December 21, 1994",7.8,87,PG,Gillian Armstrong
437.,Aftershock,Documentary ,"July 19, 2022",,87,TV-MA,Paula Eiselt
438.,Shakespeare in Love,"Drama,                                                                                                    Comedy,                                                                                                    Romance ","December 11, 1998",7.1,87,R,John Madden
439.,The Awful Truth,"Comedy,                                                                                                    Romance ","October 21, 1937",8.2,87,Passed,Leo McCarey
440.,Can You Ever Forgive Me?,"Biography,                                                                                                    Drama,                                                                                                    Comedy,                                                                                                    Crime ","October 19, 2018",7.6,87,R,Marielle Heller
441.,Wolfwalkers,"Adventure,                                                                                                    Fantasy,                                                                                                    Animation,                                                                                                    Family ","November 13, 2020",8.6,87,PG,Ross Stewart
442.,It Happened One Night,"Comedy,                                                                                                    Romance ","February 22, 1934",8.3,87,Approved,Frank Capra
443.,The Body Remembers When the World Broke Open,Drama ,"November 22, 2019",,87,TV-MA,Elle-Máijá Tailfeathers
444.,The Missing Picture,Documentary ,"October 4, 2013",7.6,87,Not Rated,Rithy Panh
445.,"I Travel Because I Have to, I Come Back Because I Love You",Drama ,"March 25, 2011",7.6,87,,Karim Ainouz
446.,The Invisible Man,"Sci-Fi,                                                                                                    Horror ","November 13, 1933",7.6,87,TV-PG,James Whale
447.,Scarface,"Action,                                                                                                    Drama,                                                                                                    Thriller,                                                                                                    Crime,                                                                                                    Film-Noir ","April 9, 1932",7.1,87,Passed,Howard Hawks
448.,Of Men and War,"History,                                                                                                    War,                                                                                                    Documentary ","November 6, 2015",8.3,87,Not Rated,Laurent Bécue-Renard
449.,The Long Goodbye,"Drama,                                                                                                    Mystery,                                                                                                    Thriller,                                                                                                    Comedy,                                                                                                    Crime ","March 7, 1973",7.2,87,R,Robert Altman
450.,She Wore a Yellow Ribbon,Western ,"October 22, 1949",,87,Passed,John Ford
451.,Imitation of Life,Drama ,"March 18, 1959",,87,TV-PG,Douglas Sirk
452.,Pain and Glory,Drama ,"October 4, 2019",8.0,87,Not Rated,Pedro Almodóvar
453.,Genèse (Genesis),Drama ,"August 23, 2019",,87,,Philippe Lesage
454.,The Farthest,"History,                                                                                                    Documentary ","August 11, 2017",6.7,87,Not Rated,Emer Reynolds
455.,Gomorrah,"Drama,                                                                                                    Crime ","February 13, 2009",7.2,87,Not Rated,Matteo Garrone
456.,Days,Drama ,"August 13, 2021",,87,Not Rated,Ming-liang Tsai
457.,Who We Are: A Chronicle of Racism in America,Documentary ,"January 14, 2022",,87,PG-13,Emily Kunstler
